System,Bond num,Mean bond len diff (nm),Mean bond len diff unc (a=0.05),Bond length cutoff (nm),P > cutoff diff,P > cutoff diff unc (a=0.05)
bo4-RRSSRS,1,-0.00020642564575698572,0.00019872853203983999,0.16338015019893645,-0.0011849093338401253,0.0010779427018558774
bo4-RRSSRS,7,0.00020229618639272526,0.0001065208062548698,0.1565440785884857,0.0016280859819473616,0.0007531590709964643
bo4-RRSSRS,11,-9.119163832324584e-05,8.373450026924872e-05,0.1566174477338791,-0.0007186474638160249,0.0007160855670796076
bo4-RRRSRS,4,-0.00020295018006633025,0.00014922099888784327,0.1487314999103546,-0.001180325055802383,0.0008148656490839822
bo4-RRRSRS,5,-0.00019937408029954692,0.00017834230198527482,0.1631135791540146,-0.0013283263645209426,0.001101218827535483
bo4-RRRSRS,7,-7.491196895939578e-05,6.929617047662974e-05,0.15663333237171173,-0.0006815574504453886,0.0005395824790376157
bo4-RRRSRS,9,0.0002852285930947662,0.0002396149658645816,0.1631533056497574,0.0019832231484718608,0.0014630283483286215
bo4-RRRSRS,10,0.00023944735718420262,0.0002091726081968281,0.16364266380667686,0.0014980417936087886,0.001201779532580179
b5,1,-0.00040522280227328617,0.0002076064474256896,0.16332493722438812,-0.0022949210874685664,0.0011185851726827564
b5,5,-0.0003900634403952163,0.00024805679595889165,0.16211427748203278,-0.0022387940465518974,0.0013836787990857836
b5,6,0.00035469543764282685,0.00019095992573444086,0.16570395231246948,0.002706049712530313,0.001117816238352683
b5,8,0.00011058605917255158,5.950619834222952e-05,0.14689798653125766,0.0009255086810057713,0.0005396200493655191
b5,9,-0.00010166257016031022,6.943340268537381e-05,0.14663240313529968,-0.0006583406863495887,0.0005179769313634425
b5,10,-0.0001377066281893491,7.869416305088481e-05,0.15456709265708926,-0.0009855393585100347,0.0005810030301291977
